iter	Passed	Remaining
688	1248	563
689	1250	561
690	1251	559
691	1252	557
692	1254	555
693	1255	553
694	1257	551
695	1259	549
696	1260	548
697	1262	546
698	1264	544
699	1265	542
700	1266	540
701	1268	538
702	1269	536
703	1271	534
704	1272	532
705	1274	530
706	1276	528
707	1277	526
708	1279	524
709	1280	523
710	1282	521
711	1283	519
712	1284	517
713	1286	515
714	1288	513
715	1289	511
716	1291	509
717	1293	507
718	1294	505
719	1296	504
720	1297	502
721	1299	500
722	1300	498
723	1302	496
724	1304	494
725	1306	492
726	1307	491
727	1309	489
728	1310	487
729	1312	485
730	1313	483
731	1315	481
732	1316	479
733	1318	477
734	1320	475
735	1321	474
736	1323	472
737	1324	470
738	1326	468
739	1327	466
740	1328	464
741	1330	462
742	1331	460
743	1333	458
744	1336	457
745	1337	455
746	1339	453
747	1340	451
748	1341	449
749	1343	447
750	1344	445
751	1346	444
752	1348	442
753	1349	440
754	1351	438
755	1353	436
756	1354	434
757	1356	432
758	1357	431
759	1359	429
760	1360	427
761	1362	425
762	1364	423
763	1366	422
764	1367	420
765	1369	418
766	1371	416
767	1372	414
768	1374	412
769	1375	410
770	1377	409
771	1378	407
772	1380	405
773	1382	403
774	1383	401
775	1385	399
776	1386	397
777	1388	396
778	1389	394
779	1391	392
780	1392	390
781	1394	388
782	1396	387
783	1398	385
784	1399	383
785	1401	381
786	1402	379
787	1404	377
788	1406	376
789	1407	374
790	1409	372
791	1411	370
792	1412	368
793	1414	366
794	1415	365
795	1417	363
796	1419	361
797	1420	359
798	1421	357
799	1423	355
800	1425	354
801	1427	352
802	1429	350
803	1430	348
804	1431	346
805	1433	344
806	1434	343
807	1436	341
808	1437	339
809	1439	337
810	1440	335
811	1442	334
812	1444	332
813	1445	330
814	1447	328
815	1448	326
816	1450	324
817	1451	322
818	1452	321
819	1454	319
820	1456	317
821	1458	315
822	1459	313
823	1461	312
824	1462	310
825	1464	308
826	1465	306
827	1467	304
828	1468	302
829	1470	301
830	1471	299
831	1473	297
832	1475	295
833	1476	293
834	1477	292
835	1479	290
836	1481	288
837	1482	286
838	1483	284
839	1486	283
840	1487	281
841	1489	279
842	1490	277
843	1492	275
844	1494	274
845	1495	272
846	1496	270
847	1498	268
848	1500	266
849	1501	265
850	1503	263
851	1504	261
852	1506	259
853	1507	257
854	1509	256
855	1511	254
856	1512	252
857	1514	250
858	1516	248
859	1517	247
860	1519	245
861	1520	243
862	1522	241
863	1523	239
864	1525	238
865	1526	236
866	1528	234
867	1529	232
868	1531	230
869	1533	229
870	1534	227
871	1536	225
872	1537	223
873	1539	221
874	1540	220
875	1542	218
876	1544	216
877	1547	214
878	1548	213
879	1550	211
880	1552	209
881	1553	207
882	1555	206
883	1556	204
884	1558	202
885	1559	200
886	1561	198
887	1563	197
888	1564	195
889	1566	193
890	1567	191
891	1569	189
892	1570	188
893	1572	186
894	1573	184
895	1575	182
896	1577	181
897	1578	179
898	1580	177
899	1581	175
900	1583	173
901	1584	172
902	1586	170
903	1587	168
904	1589	166
905	1591	165
906	1592	163
907	1594	161
908	1595	159
909	1597	157
910	1598	156
911	1600	154
912	1601	152
913	1602	150
914	1604	149
915	1606	147
916	1608	145
917	1609	143
918	1611	142
